X_pred,Y_pred,X_true,Y_true,Error_X,Error_Y,Error_Euclidean,InferenceTime_ms,k
24895.200888903153,1382.283170783298,25200,3600,0.3047991110968469,2.217716829216702,2.2385643686783747,4.860767000081978,5
9716.045182779866,2383.4247971571745,7200,3600,2.516045182779866,1.2165752028428256,2.7947340814399197,4.654269999946337,5
9596.910185308694,2427.2776195085953,10800,1200,1.203089814691306,1.2272776195085953,1.7186144004868125,4.526297999973394,6
17250.370532825204,796.7279838421713,15600,1200,1.6503705328252036,0.4032720161578287,1.6989264888845976,4.498441000009734,6
13.53408343913101,2346.8391231193314,2400,1200,2.3864659165608693,1.1468391231193313,2.6477272414702817,4.38242400002764,6
9143.706684387178,264.07417695703145,7200,1200,1.943706684387178,0.9359258230429686,2.157302209049547,5.765004000068075,6
10514.978626224389,6029.8067162480165,12000,3600,1.4850213737756113,2.4298067162480166,2.847674342142088,4.482280000047467,6
17636.40754353158,760.8872855774805,20400,3600,2.763592456468421,2.8391127144225194,3.9620707049022696,4.329782000013438,6
16188.440390280157,1163.9353855825102,22800,3600,6.611559609719843,2.43606461441749,7.046072046076157,4.1798050000352305,6
24869.58294626506,1524.6704326058148,25200,3600,0.33041705373493824,2.0753295673941854,2.1014681160320783,4.234669999959806,6
9716.045131533203,2383.4248167553797,7200,3600,2.516045131533203,1.2165751832446203,2.7947340267722462,4.188230999943698,6
