k,dispersion,geometry,is_core,model,Mean_Error_m,Median_Error_m,Std_Error_m,Min_Error_m,Max_Error_m,Q25_Error_m,Q75_Error_m,ap_indices_str,ap_names_str
3,8.658289384105657,,False,KWNN,2.839018063749286,1.7406158811302606,1.9340985297326663,0.4633953318617702,6.539024585520721,1.4154441412082546,4.054458085753259,"(1, 2, 3)","('ap1', 'ap2', 'ap3')"
3,8.658289384105657,,False,RF,2.7766577944647954,1.8590444454073711,2.2914532264710457,0.8978278287065958,8.3733880932392,1.111525960110694,3.2369092418540255,"(1, 2, 3)","('ap1', 'ap2', 'ap3')"
3,8.658289384105657,,False,Transformer,3.101040501191788,1.8850354756501726,2.194912389319585,0.8584409552044159,8.25606837933067,1.6122393173302625,3.9110659379032153,"(1, 2, 3)","('ap1', 'ap2', 'ap3')"
3,8.615061627147284,,False,KWNN,2.925097370448,1.969272018730359,2.5684096978091966,0.29370980322290086,9.478778624564391,1.4144743548398522,3.383784199149914,"(1, 2, 4)","('ap1', 'ap2', 'ap4')"
3,8.615061627147284,,False,RF,2.894359662735141,2.512025177023511,2.2502864371893616,0.7706297684361799,8.238168349821459,1.1455840824662327,3.6595561698107604,"(1, 2, 4)","('ap1', 'ap2', 'ap4')"
3,8.615061627147284,,False,Transformer,2.858057043429243,2.060843125115906,1.9463682334577892,0.8616342293900592,7.562854027344428,1.7596717555417085,3.2769765738971346,"(1, 2, 4)","('ap1', 'ap2', 'ap4')"
3,15.052660911863413,dispersed,True,KWNN,2.861475878794255,1.9272142500116995,1.8836320288587198,0.6899017404539886,6.5483998998961175,1.1773993877459858,3.8734430542470424,"(1, 2, 5)","('ap1', 'ap2', 'ap5')"
3,15.052660911863413,dispersed,True,RF,2.9389615761194197,2.579663737776689,2.2157870725230615,0.7596690068707556,8.470666236489311,1.409445369640129,3.6329990696392973,"(1, 2, 5)","('ap1', 'ap2', 'ap5')"
3,15.052660911863413,dispersed,True,Transformer,3.1972496743841283,2.2558862237351813,2.2662661850714594,0.7715027446188109,8.109267465905097,1.4434377439914128,4.733377293703707,"(1, 2, 5)","('ap1', 'ap2', 'ap5')"
3,11.956075925698684,,False,KWNN,2.9611425466364176,2.455590922316435,2.206838640075147,0.4680103892621578,7.657431992924715,1.4988263443438734,3.2650586805188224,"(1, 2, 6)","('ap1', 'ap2', 'ap6')"
3,11.956075925698684,,False,RF,2.4024172323818735,1.4407403097019253,1.9858602338083329,0.7455266326564063,7.116839028669961,1.1041455701129266,3.386214052596203,"(1, 2, 6)","('ap1', 'ap2', 'ap6')"
3,11.956075925698684,,False,Transformer,2.6063279621450683,1.7601695600706821,1.915590907187214,0.8143268326389963,7.362827479456289,1.3551037107393122,3.416431188699575,"(1, 2, 6)","('ap1', 'ap2', 'ap6')"
3,8.803637151881759,,False,KWNN,3.1577391870297165,2.821209278414285,2.778765846633351,0.623729441400598,10.293271066882502,1.2811092600047036,3.7911841132910475,"(1, 3, 4)","('ap1', 'ap3', 'ap4')"
3,8.803637151881759,,False,RF,3.4227946870410553,3.761134807474999,2.1428068975909906,0.5414646802885669,8.531506842287593,1.899459459951699,3.820496304146884,"(1, 3, 4)","('ap1', 'ap3', 'ap4')"
3,8.803637151881759,,False,Transformer,3.0664969727187237,2.5160084339878894,2.4122750566892535,0.285594322538808,8.570941352853646,1.532518941169587,4.164294662542919,"(1, 3, 4)","('ap1', 'ap3', 'ap4')"
3,14.784706099942577,,False,KWNN,2.794831582484133,1.4444657931426454,2.74195485796321,0.32096700307981685,8.967019503958978,0.7854409561611682,4.282860295412624,"(1, 3, 5)","('ap1', 'ap3', 'ap5')"
3,14.784706099942577,,False,RF,2.944028304590832,2.629318542892816,2.325930520981806,0.2997453752770841,8.72743756723587,1.2663787900940222,3.5003045581777594,"(1, 3, 5)","('ap1', 'ap3', 'ap5')"
3,14.784706099942577,,False,Transformer,3.170369906251541,1.8841096669134014,2.3024593612532933,1.1280579607556271,8.626545281067395,1.4979440145197287,4.270735076916699,"(1, 3, 5)","('ap1', 'ap3', 'ap5')"
3,11.54399779282835,median,True,KWNN,3.5271288977444524,2.3122046146725097,2.8306165638733303,0.5368524465482862,9.248938245961906,2.1532810365265287,3.7035896952486285,"(1, 3, 6)","('ap1', 'ap3', 'ap6')"
3,11.54399779282835,median,True,RF,2.7487574739675242,1.827891750077121,2.270144319537835,0.40407920015759285,7.8034266550022755,1.1091765594349714,3.3823977530739935,"(1, 3, 6)","('ap1', 'ap3', 'ap6')"
3,11.54399779282835,median,True,Transformer,2.7610376397018648,1.7643943977583048,2.0563223637566153,0.8346868937854746,8.094465878926156,1.5941072806954215,3.263427628976712,"(1, 3, 6)","('ap1', 'ap3', 'ap6')"
3,14.998064008787642,,False,KWNN,4.019207090627733,3.8858531362725763,2.1862711694462496,1.0221518296826124,8.696110749237992,2.2506762087680396,4.997524024669313,"(1, 4, 5)","('ap1', 'ap4', 'ap5')"
3,14.998064008787642,,False,RF,3.4231167371634763,3.1185118646559613,2.2252848957121447,0.922291976545389,8.680756190563125,1.6877658723887032,4.153982960966498,"(1, 4, 5)","('ap1', 'ap4', 'ap5')"
3,14.998064008787642,,False,Transformer,2.9398322819316203,2.318902080453601,2.157334867599661,1.2167896207096147,8.573853703687194,1.6432511629590614,2.886014121490883,"(1, 4, 5)","('ap1', 'ap4', 'ap5')"
3,11.563145295852955,,False,KWNN,3.333932100120691,1.9148973954450734,2.72741933155292,0.3473498272981609,9.091361560447284,1.5774133651836522,4.868032275378712,"(1, 4, 6)","('ap1', 'ap4', 'ap6')"
3,11.563145295852955,,False,RF,2.840718565477361,1.9762772098063572,2.221763461901635,0.2319727570211639,8.021133391859284,1.4734525577703546,4.068831458785188,"(1, 4, 6)","('ap1', 'ap4', 'ap6')"
3,11.563145295852955,,False,Transformer,2.4974828169334775,1.4833290447181726,2.2305809734896767,0.603358941354623,8.171201929843463,1.2708066040316919,3.2211381519175775,"(1, 4, 6)","('ap1', 'ap4', 'ap6')"
3,15.01849145743437,,False,KWNN,3.2275054758921247,2.588090089038272,2.2833012679032967,0.08793173218471755,8.652542518518846,1.9466715182413683,3.8670796048815594,"(1, 5, 6)","('ap1', 'ap5', 'ap6')"
3,15.01849145743437,,False,RF,3.090480348047688,1.9457275477311824,2.3275566835198043,0.910173747149411,8.522917906444953,1.494491515532959,4.145622698702814,"(1, 5, 6)","('ap1', 'ap5', 'ap6')"
